beta_hml,beta_mk,beta_mom,beta_smb,firmcode,industry,logv,sigma,skewness,region
0.014174891,0.64782142,0.0646882,0.017942693,600226,7,8.248531846,0.5706639,0.181577,28
0.004152631,0.61329691,0.062077746,0.008441797,600227,7,8.122537867,0.44745061,-0.1250167,8
0.012905089,0.69223293,0.063966639,0.024569502,600228,7,8.417985641,0.73558944,-1.1084537,14
0.003302636,0.70430731,0.077526942,0.021519558,600229,7,8.170716101,0.52799738,0.011332904,30
-0.002786048,0.7642654,0.14043331,0.019896162,600230,9,7.892504377,0.77524011,0.74346181,9
-0.000748197,0.79861465,0.093051913,0.009852038,600231,4,9.037447465,0.63990734,-0.25341249,23
0.001659877,0.65075067,0.081251819,0.022535572,600232,4,8.048332077,0.62322476,0.40078065,9
0.011002705,0.6847521,0.14312612,0.022798219,600233,16,7.711564244,0.63543245,0.3833088,15
0.016844822,1.0164224,0.080091361,0.030365956,600234,6,7.261983231,0.67873395,0.064208692,23
0.0149214,0.56219484,0.084498387,0.016373066,600235,19,8.076611252,0.60599127,-0.10810275,27
0.002689757,0.3100611,0.13158433,0.008362193,600236,10,8.602988007,0.52242818,0.14811706,1
0.00405969,0.72740606,0.096443686,0.023021632,600237,3,8.668696335,0.60160652,0.039747991,29
0.014895375,0.50331056,0.17021437,0.017293583,600238,18,8.087261913,0.76538499,0.3376572,22
-0.007662246,0.94566947,0.003659402,0.021156767,600239,18,7.800912114,0.62985091,0.76309471,10
-0.002221028,0.70177363,0.11748543,0.017529317,600240,4,8.35650879,0.56093383,0.43989684,9
0.005052213,0.64207939,0.09694127,0.025459054,600241,1,6.900043792,0.59498549,1.1964839,26
-0.007706592,0.98614089,0.047652118,0.033889667,600242,10,7.563171983,0.74204479,1.1621389,12
-0.000474736,0.98583988,0.1042519,0.024724822,600243,18,7.716933294,0.56641951,0.37807862,2
-0.008224805,0.9260434,-0.073349931,0.002824879,600246,16,8.506066296,0.84130564,0.95646011,6
0.00787,0.68118863,-0.076462835,-0.000496374,600247,1,8.755257481,0.57447895,-0.25066856,16
0.001953202,1.2134083,0.036783626,0.007830204,600248,21,7.526197394,0.81251057,1.8875687,27
0.026186139,1.643599,-0.023513268,-0.00949119,600249,16,8.77838272,0.7581379,0.069134289,7
-0.014938114,0.82535876,0.003382766,0.014967856,600250,1,7.801185039,0.93258612,2.038354,21
0.015367204,0.56500866,0.020093512,-0.000704173,600251,21,8.136321218,1.1526793,1.6888831,27
0.009555212,1.2659988,-0.021480392,0.001842016,600252,11,7.812850616,0.60198736,0.45179691,31
0.010446743,0.74568967,0.019765194,0.002653493,600253,21,8.332903339,0.51878495,-0.036888192,1
0.009072008,1.0823773,-0.010607737,0.000889308,600255,18,8.313933392,0.66483635,0.22095765,21
-0.004120472,0.87908463,0.035648416,0.003633553,600256,1,8.822316296,0.580154,0.29424001,5
0.012049771,-0.73696464,-0.03614863,-0.001712866,600257,19,8.821874849,0.5690835,-0.30584455,2
0.020014824,0.95244202,-0.060828884,-0.009059779,600258,4,7.710294298,0.7373733,-0.53822892,29
-1.66E-05,1.2732162,0.15229591,0.004958489,600259,7,7.613731909,0.73900709,0.45792375,4
0.002620105,1.0931677,-0.015002864,0.004553221,600260,8,8.526395758,0.56238507,0.30957813,23
0.001878008,1.0749201,-0.011292178,0.004827506,600261,10,8.463675657,0.5688654,0.31965827,10
-0.002446891,0.79149319,0.051642889,-0.001356151,600262,13,7.454731118,0.46545548,0.10653474,2
-0.003105931,0.79266494,0.049829576,-0.001467464,600263,1,7.438086192,0.46715455,0.10052561,22
0.012186208,0.89430347,-0.033783148,-0.003386412,600265,13,7.467414837,0.67542869,0.67277421,2
0.012125034,0.90359252,-0.03264528,-0.003309677,600266,11,7.439102977,0.67546857,0.67845448,23
0.007117184,0.75879662,0.004594679,-0.001470701,600267,10,8.190448354,0.59793963,0.51840612,7
0.007157299,0.76581651,0.004491107,-0.001163625,600268,14,8.169596289,0.59717795,0.53306432,8
-0.005986513,1.0417444,0.050039764,-0.008079745,600269,14,7.527705065,0.60161115,0.83404902,2
-0.005999163,1.0427126,0.049592157,-0.008108375,600270,15,7.498574397,0.60170376,0.84567313,2
-0.009200235,1.0493719,-0.007518345,0.001592162,600271,4,8.654514767,0.61566496,0.58880444,17
9.14E-05,0.37908178,0.032323633,0.005252793,600272,4,8.065248395,0.57651548,0.62168989,7
0.000322538,0.81228021,-0.03427069,-0.003453648,600273,1,7.15062067,0.58247859,0.4336862,4
